date,fire_count,total_frp,burned_area,fire_anomaly,frp_anomaly,burn_anomaly,co,no2,aerosol_index,co_anomaly,no2_anomaly,ai_anomaly,blh,wind_speed,temp_2m,rh,precip,year,blh_anomaly,ws_anomaly
2021-09-24,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0361341465509073,3.162307971526685e-05,-1.621286120294059,-0.0005313975524004,-1.629658997538977e-05,-1.0407927960581818,1300.4,2.75,30.1,71.1,5.06,2021,-249.6,-1.15
2021-09-25,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.035900501139374,3.382671327162293e-05,-0.5578594113878138,-0.0007650429639337,-1.4092956419033694e-05,0.0226339128480633,1303.8,2.06,31.9,72.0,0.0,2021,-246.2,-1.84
2021-09-26,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0337578672001172,3.3941486051735114e-05,-0.1399439042880408,-0.0029076769031905,-1.3978183638921504e-05,0.4405494199478363,1221.9,3.09,31.7,71.0,2.54,2021,-328.1,-0.81
2021-09-27,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0345720844679361,3.603762592685575e-05,-0.5109730669591989,-0.0020934596353716,-1.188204376380087e-05,0.0695202572766782,1424.8,2.82,31.2,76.2,0.0,2021,-125.2,-1.08
2021-09-28,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0340639007472577,3.392540124634418e-05,-1.1775277875735424,-0.00260164335605,-1.399426844431244e-05,-0.5970344633376652,1288.3,2.0,32.8,64.6,0.0,2021,-261.7,-1.9
2021-09-29,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0321834845082747,3.657922342074589e-05,-1.6108307757768652,-0.004482059595033,-1.134044626991073e-05,-1.0303374515409882,1121.6,3.92,29.8,74.0,0.0,2021,-428.4,0.02
2021-09-30,2.0,99.0,97.40895459375,0.6549662487945997,-381.2504660880746,96.70211878115808,0.0334040954160466,4.032634474206939e-05,-1.0651866916040469,-0.0032614486872611,-7.593324948587228e-06,-0.4846933673681697,957.7,3.31,35.1,79.4,1.7,2021,-592.3,-0.59
2021-10-01,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0353798857021014,4.502944254909016e-05,-0.0119323535829664,-0.0012856584012064,-2.8902271415664626e-06,0.5685609706529108,913.9,2.99,27.0,71.4,0.0,2021,-636.1,-0.91
2021-10-02,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0388397291748754,3.440489198457021e-05,-0.094134926462879,0.0021741850715676,-1.35147777060864e-05,0.4863583977729981,1151.2,2.26,27.8,54.0,0.0,2021,-398.8,-1.64
2021-10-03,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0341607660689178,3.798657139725359e-05,-0.6935196164878298,-0.0025047780343899,-9.933098293403029e-06,-0.1130262922519525,816.6,2.39,26.3,60.1,1.79,2021,-733.4,-1.51
2021-10-04,1.0,89.0,4996.099048124693,-0.3450337512054002,-391.2504660880746,4995.392212312101,0.0328740808437744,4.700069503409222e-05,-1.2135149147485012,-0.0037914632595333,-9.189746565643996e-07,-0.633021590512624,780.7,2.79,27.7,59.8,0.0,2021,-769.3,-1.11
2021-10-05,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0344136031243301,4.789207568090541e-05,-0.7658316486834098,-0.0022519409789776,-2.7594009751208128e-08,-0.1853383244475326,787.2,2.23,27.5,62.1,0.0,2021,-762.8,-1.67
2021-10-06,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0354032880053934,5.024683996299179e-05,0.3277766982350599,-0.0012622560979144,2.327170272335165e-06,0.9082700224709372,851.5,2.82,27.7,64.2,0.0,2021,-698.5,-1.08
2021-10-07,9.0,660.0,4996.099048124693,7.6549662487946,179.74953391192545,4995.392212312101,0.0371800437083063,4.876203332799514e-05,0.4839718343401405,0.0005144996049985,8.423636373385206e-07,1.064465158576018,812.1,3.89,29.1,57.0,0.0,2021,-737.9,-0.01
2021-10-08,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0360077045178072,5.319468340048572e-05,0.1867834550724985,-0.0006578395855005,5.275013709829093e-06,0.7672767793083758,935.8,3.44,26.2,66.2,0.0,2021,-614.2,-0.46
2021-10-09,5.0,363.0,4996.099048124693,3.6549662487946,-117.25046608807456,4995.392212312101,0.033895569450762,5.85553075434408e-05,-0.1612913325894678,-0.0027699746525457,1.0635637852784175e-05,0.4192019916464094,844.4,2.53,25.1,65.8,0.0,2021,-705.6,-1.37
2021-10-10,7.0,1531.0,4996.099048124693,5.6549662487946,1050.7495339119257,4995.392212312101,0.0345619752179324,5.8643449319474105e-05,-0.1482380444944125,-0.0021035688853753,1.0723779628817488e-05,0.4322552797414646,820.1,3.06,23.1,51.2,0.0,2021,-729.9,-0.84
2021-10-11,6.0,482.0,4996.099048124693,4.6549662487946,1.7495339119254254,4995.392212312101,0.0337174321786518,5.681322367836368e-05,0.5746785503675896,-0.0029481119246559,8.893553987707056e-06,1.155171874603467,651.5,1.85,28.5,63.1,0.0,2021,-898.5,-2.05
2021-10-12,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0340423746135393,5.365668858248604e-05,0.6680062890756525,-0.0026231694897685,5.737018891829417e-06,1.2484996133115298,894.7,2.02,28.1,64.5,0.0,2021,-655.3,-1.88
2021-10-13,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.037405222112974,6.143244995352175e-05,0.2820639460661509,0.0007396780096662,1.351278026286513e-05,0.862557270302028,936.5,3.66,24.5,62.5,0.0,2021,-613.5,-0.24
2021-10-14,48.58823529411765,4768.588235294117,4996.099048124693,47.24320154291225,4288.337769206042,4995.392212312101,0.0359606392648758,6.410959561996704e-05,-0.1990446198884867,-0.0007049048384319,1.618992592931042e-05,0.3814487043473904,715.6,3.38,23.6,74.9,0.0,2021,-834.4,-0.52
2021-10-15,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0360291240495212,7.382881106005101e-05,-0.1117560883496188,-0.0006364200537865,2.59091413693944e-05,0.4687372358862584,843.1,2.61,24.2,56.5,0.86,2021,-706.9,-1.29
2021-10-16,78.9921568627451,6062.231372549019,4996.099048124693,77.6471231115397,5581.980906460944,4995.392212312101,0.0448845413994447,6.226860031998722e-05,-0.7279627093786708,0.0082189972961369,1.4348930629330604e-05,-0.1474693851427936,699.7,1.78,23.7,63.7,0.0,2021,-850.3,-2.12
2021-10-17,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0501917613391716,5.368121761614934e-05,-0.3072142249713145,0.0135262172358638,5.761547925492719e-06,0.2732790992645625,503.3,4.15,27.6,64.9,0.0,2021,-1046.7,0.25
2021-10-18,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0448720562906296,5.059271822850351e-05,-0.2655030179807646,0.0082065121873217,2.673048537846882e-06,0.3149903062551125,788.5,3.91,26.4,71.3,0.0,2021,-761.5,0.01
2021-10-19,39.0,9777.0,4996.099048124693,37.6549662487946,9296.749533911923,4995.392212312101,0.037582502712156,5.762738099445456e-05,-0.367882934621503,0.0009169586088482,9.707711303797937e-06,0.2126103896143741,733.2,2.96,26.0,69.0,0.0,2021,-816.8,-0.94
2021-10-20,14.0,3541.0,4996.099048124693,12.6549662487946,3060.749533911925,4995.392212312101,0.0406307425476834,6.309112496011831e-05,-0.0636051991973677,0.0039651984443755,1.5171455269461684e-05,0.5168881250385094,891.0,3.29,24.5,52.0,0.0,2021,-659.0,-0.61
2021-10-21,87.0,11769.0,4996.099048124693,85.6549662487946,11288.749533911923,4995.392212312101,0.0361265401073398,5.134330544331532e-05,0.2387995767615209,-0.0005390039959679,3.4236357526587013e-06,0.8192929009973982,850.7,2.8,26.1,66.0,0.0,2021,-699.3,-1.1
2021-10-22,5.0,825.0,4996.099048124693,3.6549662487946,344.7495339119254,4995.392212312101,0.0351192056006353,5.2806121735115365e-05,0.5450272185415728,-0.0015463385026724,4.886452044458746e-06,1.12552054277745,849.3,1.34,24.1,62.6,0.0,2021,-700.7,-2.56
